subset_rank,system,policy,mean_H_subset
529,6061,R2_cand_6061,1.2290699816904518
530,3623,R2_cand_3623,1.2291829313617262
531,5660,R2_cand_5660,1.2292241968710236
532,3275,R2_cand_3275,1.229762706664257
533,1449,R2_cand_1449,1.2297742649091552
534,3958,R2_cand_3958,1.2300913597921928
535,4842,R2_cand_4842,1.2301588485994295
536,5325,R2_cand_5325,1.2302062638511038
537,2911,R2_cand_2911,1.2303357439658757
538,6290,R2_cand_6290,1.23061750806304
539,1944,R2_cand_1944,1.2307903901474027
540,3626,R2_cand_3626,1.2307915787106931
541,693,R2_cand_693,1.2308762894332266
542,4839,R2_cand_4839,1.2309679367818993
543,1444,R2_cand_1444,1.2311217678672535
544,1329,R2_cand_1329,1.2313298995966133
545,6215,R2_cand_6215,1.2314747690449783
546,3472,R2_cand_3472,1.2315079542300005
547,3294,R2_cand_3294,1.2318583763179416
548,3924,R2_cand_3924,1.2320281696214033
549,3481,R2_cand_3481,1.232827146755623
550,5814,R2_cand_5814,1.2328289268462154
551,3645,R2_cand_3645,1.2328676736682873
