replication,seed,warmup_weeks,elapsed_week,measured_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,Z1_wait_time,Z2_overtime,Z3_congestion,H_raw,H_analysis,used_for_analysis
2,124,38,39,4,8,8,39,51,194817.3970576251,3.327874655870983,4.0,3.56529838106529,3.56529838106529,True
2,124,39,40,4,7,7,47,54,115085.72938132506,3.944075663049686,4.0,2.428111311694645,2.428111311694645,True
2,124,40,41,4,11,11,49,54,164982.55005058876,3.000526499031791,4.0,3.095139590913447,3.095139590913447,True
2,124,41,42,4,12,12,66,69,107978.37302131265,3.107029676825429,4.0,2.2553834012489014,2.2553834012489014,True
2,124,42,43,4,15,15,52,61,106652.1270225987,3.236716690148508,5.0,2.3460225587624564,2.3460225587624564,True
2,124,43,44,4,15,15,39,63,91031.48666668792,5.1022238279336305,5.0,2.262813124488975,2.262813124488975,True
2,124,44,45,4,15,15,51,74,121127.11309789181,5.084017424562384,5.0,2.7092081960169523,2.7092081960169523,True
2,124,45,46,4,19,19,47,64,111053.51897884975,5.687939298890706,4.0,2.507617271572711,2.507617271572711,True
2,124,46,47,4,11,11,48,61,91938.03044508041,3.4757271570170514,4.0,2.046183625613156,2.046183625613156,True
2,124,47,48,4,10,10,47,63,111503.414564518,2.6842456344582994,4.0,2.2740166532048485,2.2740166532048485,True
2,124,48,49,4,7,7,43,67,116969.41706196211,2.9917419248391526,4.0,2.3799556793139494,2.3799556793139494,True
2,124,49,50,4,7,7,43,62,188106.40211495906,3.785806546821065,5.0,3.6020669361706714,3.6020669361706714,True
3,125,0,1,4,30,30,10,10,60611.688275194276,1.1989541993743615,2.0,1.1978759829022447,1.1978759829022447,True
3,125,1,2,4,42,42,21,21,33680.12679585999,2.921405707576044,3.0,1.0349048196397144,1.0349048196397144,True
3,125,2,3,4,27,27,20,22,37082.140424933226,3.0212518114040905,3.0,1.093517710759548,1.093517710759548,True
3,125,3,4,4,38,38,16,17,26407.691724746168,3.4201137913646864,4.0,1.066580706355993,1.066580706355993,True
3,125,4,5,4,27,27,29,35,67337.35253439524,3.7619908043952517,4.0,1.7030032008753588,1.7030032008753588,True
3,125,5,6,4,29,29,30,37,122704.1268606311,3.2028094368970415,3.0,2.3821790237111546,2.3821790237111546,True
3,125,6,7,4,38,38,26,27,23046.807801755742,3.0768160958686774,4.0,0.9891037371003832,0.9891037371003832,True
3,125,7,8,4,42,42,14,16,28077.417306395953,2.7051678759809876,4.0,1.0342321399950856,1.0342321399950856,True
